0, 12, 3, 0.1016, 0.7472, 0.0969, 0.1722
0, 31, 1, 0.8781, 0.8778, 0.1344, 0.2389
0, 79, 3, 0.2547, 0.6083, 0.0812, 0.1444
0, 80, 3, 0.5, 0.0889, 0.0969, 0.1722
0, 103, 0, 0.2516, 0.1806, 0.2125, 0.3556
0, 127, 0, 0.8875, 0.3417, 0.1125, 0.1389
0, 152, 0, 0.3375, 0.0639, 0.0875, 0.1222
0, 154, 1, 0.4906, 0.2222, 0.1406, 0.25
0, 159, 2, 0.5672, 0.6611, 0.1531, 0.6722
1, 12, 3, 0.1453, 0.7472, 0.0969, 0.1722
1, 31, 1, 0.9219, 0.8778, 0.1344, 0.2389
1, 79, 3, 0.2984, 0.6083, 0.0812, 0.1444
1, 80, 3, 0.5438, 0.0889, 0.0969, 0.1722
1, 103, 0, 0.2953, 0.1806, 0.2125, 0.3556
1, 127, 0, 0.9312, 0.3417, 0.1125, 0.1389
1, 152, 0, 0.3812, 0.0639, 0.0875, 0.1222
1, 154, 1, 0.5344, 0.2222, 0.1406, 0.25
1, 159, 2, 0.6109, 0.6611, 0.1531, 0.6722
2, 12, 3, 0.1891, 0.7472, 0.0969, 0.1722
2, 31, 1, 0.9492, 0.8778, 0.1016, 0.2389
2, 79, 3, 0.3422, 0.6083, 0.0812, 0.1444
2, 80, 3, 0.5875, 0.0889, 0.0969, 0.1722
2, 103, 0, 0.3391, 0.1806, 0.2125, 0.3556
2, 127, 0, 0.9594, 0.3417, 0.0812, 0.1389
2, 152, 0, 0.425, 0.0639, 0.0875, 0.1222
2, 154, 1, 0.5781, 0.2222, 0.1406, 0.25
2, 159, 2, 0.6547, 0.6611, 0.1531, 0.6722
3, 12, 3, 0.2328, 0.7472, 0.0969, 0.1722
3, 31, 1, 0.9711, 0.8778, 0.0578, 0.2389
3, 79, 3, 0.3859, 0.6083, 0.0812, 0.1444
3, 80, 3, 0.6312, 0.0889, 0.0969, 0.1722
3, 103, 0, 0.3828, 0.1806, 0.2125, 0.3556
3, 127, 0, 0.9812, 0.3417, 0.0375, 0.1389
3, 152, 0, 0.4688, 0.0639, 0.0875, 0.1222
3, 154, 1, 0.6219, 0.2222, 0.1406, 0.25
3, 159, 2, 0.6984, 0.6611, 0.1531, 0.6722
4, 10, 1, 0.0109, 0.4889, 0.0219, 0.2056
4, 12, 3, 0.2766, 0.7472, 0.0969, 0.1722
4, 31, 1, 0.993, 0.8778, 0.0141, 0.2389
4, 79, 3, 0.4297, 0.6083, 0.0812, 0.1444
4, 80, 3, 0.675, 0.0889, 0.0969, 0.1722
4, 103, 0, 0.4266, 0.1806, 0.2125, 0.3556
4, 152, 0, 0.5125, 0.0639, 0.0875, 0.1222
4, 154, 1, 0.6656, 0.2222, 0.1406, 0.25
4, 159, 2, 0.7422, 0.6611, 0.1531, 0.6722
5, 10, 1, 0.0328, 0.4889, 0.0656, 0.2056
5, 12, 3, 0.3203, 0.7472, 0.0969, 0.1722
5, 79, 3, 0.4734, 0.6083, 0.0812, 0.1444
5, 80, 3, 0.7188, 0.0889, 0.0969, 0.1722
5, 103, 0, 0.4703, 0.1806, 0.2125, 0.3556
5, 152, 0, 0.5562, 0.0639, 0.0875, 0.1222
5, 154, 1, 0.7094, 0.2222, 0.1406, 0.25
5, 159, 2, 0.7859, 0.6611, 0.1531, 0.6722
6, 10, 1, 0.0547, 0.4889, 0.1094, 0.2056
6, 12, 3, 0.3641, 0.7472, 0.0969, 0.1722
